"filename", "language", "Python", "Markdown", "Shell Script", "SQL", "Properties", "comment", "blank", "total"
"c:\Users\noahj\GitHub\web-accessibility-testing\README.md", "Markdown", 0, 92, 0, 0, 0, 1, 11, 104
"c:\Users\noahj\GitHub\web-accessibility-testing\TODO.md", "Markdown", 0, 1, 0, 0, 0, 0, 3, 4
"c:\Users\noahj\GitHub\web-accessibility-testing\cli.py", "Python", 58, 0, 0, 0, 0, 2, 19, 79
"c:\Users\noahj\GitHub\web-accessibility-testing\config\log.conf", "Properties", 0, 0, 0, 0, 29, 3, 10, 42
"c:\Users\noahj\GitHub\web-accessibility-testing\fixthisplease.py", "Python", 134, 0, 0, 0, 0, 2, 21, 157
"c:\Users\noahj\GitHub\web-accessibility-testing\gui.py", "Python", 17, 0, 0, 0, 0, 1, 6, 24
"c:\Users\noahj\GitHub\web-accessibility-testing\main.py", "Python", 27, 0, 0, 0, 0, 6, 6, 39
"c:\Users\noahj\GitHub\web-accessibility-testing\resources\links.md", "Markdown", 0, 17, 0, 0, 0, 3, 11, 31
"c:\Users\noahj\GitHub\web-accessibility-testing\samples\qthreadex.py", "Python", 62, 0, 0, 0, 0, 0, 22, 84
"c:\Users\noahj\GitHub\web-accessibility-testing\samples\qtreetest.py", "Python", 182, 0, 0, 0, 0, 38, 69, 289
"c:\Users\noahj\GitHub\web-accessibility-testing\samples\qtreewidget.py", "Python", 49, 0, 0, 0, 0, 7, 8, 64
"c:\Users\noahj\GitHub\web-accessibility-testing\sh-ui2py.sh", "Shell Script", 0, 0, 6, 0, 0, 1, 7, 14
"c:\Users\noahj\GitHub\web-accessibility-testing\sqlite\delete all img and url.sql", "SQL", 0, 0, 0, 76, 0, 0, 8, 84
"c:\Users\noahj\GitHub\web-accessibility-testing\sqlite\wac.sql", "SQL", 0, 0, 0, 53, 0, 0, 1, 54
"c:\Users\noahj\GitHub\web-accessibility-testing\src\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\noahj\GitHub\web-accessibility-testing\src\database\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\noahj\GitHub\web-accessibility-testing\src\database\connection.py", "Python", 52, 0, 0, 0, 0, 1, 20, 73
